date,symbol,daily_volatility,daily_sentiment,total_posts
2025-05-21,CL=F,0.6263814207098864,,
2025-05-22,CL=F,0.3390461628580325,0.22505852414502037,552.0
2025-05-23,CL=F,0.43870163826318764,0.11278229113668203,731.0
2025-05-25,CL=F,0.14547549816851413,0.19400416174175916,84.0
2025-05-26,CL=F,0.1759693085977881,-0.040027777353922524,210.0
2025-05-27,CL=F,0.3053169184571916,0.1499783689422267,644.0
2025-05-28,CL=F,0.4096542116547187,0.2849756446149614,598.0
2025-05-21,GC=F,10.507493825140896,,
2025-05-22,GC=F,14.620808363361336,,
2025-05-23,GC=F,17.193399699852975,,
2025-05-25,GC=F,2.3255606502197455,0.22486259136348963,282.0
2025-05-26,GC=F,5.535102986019545,0.2763611136211289,714.0
2025-05-27,GC=F,9.593152840072028,0.14484458277001977,851.0
2025-05-28,GC=F,9.161266463374213,0.2852514166384935,559.0
2025-05-21,SI=F,0.1748526150909039,0.43409166236718494,184.0
2025-05-22,SI=F,0.25186962986837913,0.15559999793767929,115.0
2025-05-23,SI=F,0.14433999311849302,-0.10857999920845032,102.0
2025-05-25,SI=F,0.04035286431638233,0.32781428417989183,48.0
2025-05-26,SI=F,0.07619402833501748,0.008333335320154825,84.0
2025-05-27,SI=F,0.1427695356424938,0.038999997079372406,299.0
2025-05-28,SI=F,0.12956172010372746,0.28557142508881433,104.0
